customer_id,Churn,CustomerFeedback_clean,reason_short,reason_long,churn_category
4817-QRJSX,1,i recently decided to cancel my service with this company after being a customer for 10 months i had a monthtomonth contract with them and was paying 810 a month for fiber optic internet service the automatic credit card payments were convenient but i ultimately decided to switch to a different provider for better pricing and customer service overall my experience with this company was satisfactory but i found a better deal elsewhere,better pricing,i ultimately decided to switch to a different provider for better pricing and customer service,Better deal / pricing
8775-CEBBJ,1,i recently decided to cancel my service after being a customer for 9 months the monthly charges of 442 for dsl internet were reasonable but i found that the speed and reliability of the service did not meet my needs i also had issues with the automatic bank transfer payment method as there were a few instances where the payment did not go through smoothly overall i was not satisfied with the service and decided to switch to a different provider,speed and reliability,i found that the speed and reliability of the service did not meet my needs,Service reliability / outages
2154-KVJFF,1,i recently decided to cancel my service after being a customer for 15 months the monthtomonth contract was convenient for me but i found that the 7975 monthly charges were becoming too expensive for the level of service i was receiving i appreciated the fiber optic internet service as it was fast and reliable however i ultimately decided to switch providers due to the high cost i also found the electronic check payment method to be easy and convenient overall i had a positive experience with the service but the pricing ultimately led me to churn,high cost,i ultimately decided to switch providers due to the high cost,Better deal / pricing
5028-HTLJB,1,i recently signed up for this service and unfortunately had to churn after only one month the lack of internet service was a major inconvenience for me especially considering the 2005 monthly charge additionally having to pay by mailed check was a hassle and i would have preferred more convenient payment options overall i was not satisfied with my experience and would not recommend this service to others,lack of internet service,the lack of internet service was a major inconvenience for me especially considering the 2005 monthly charge,Service reliability / outages
9063-ZGTUY,1,i have been a customer for over 5 years with this company and unfortunately i have decided to churn i have been on a monthtomonth contract with a very low monthly charge of 194 however i do not receive internet service from this company i have always paid my bills through mailed checks overall i have been satisfied with the service provided but i have found a better deal elsewhere,better deal,i have been satisfied with the service provided but i have found a better deal elsewhere,Better deal / pricing
4587-NUKOX,1,i recently switched to this fiber optic internet service provider three months ago on a monthtomonth contract the monthly charges were reasonable at 7910 however i have decided to churn and switch to a different provider due to ongoing connectivity issues and slow speeds i also found the payment method of electronic check to be inconvenient i hope the provider can improve their services in the future,connectivity issues,i have decided to churn and switch to a different provider due to ongoing connectivity issues and slow speeds,Technical issues / speed
8809-RIHDD,1,i have been a customer with this company for 6 years with a twoyear contract for fiber optic internet service i recently decided to switch providers due to the high monthly charges of 1034 and found a better deal elsewhere i have been using electronic check as my payment method and have had no issues with it overall i have had a positive experience with the service itself but ultimately decided to churn due to the cost,high monthly charges,I decided to switch providers due to the high monthly charges of $1034 and found a better deal elsewhere,Better deal / pricing
1150-WFARN,1,i have been a customer with this company for 67 months and have been on a twoyear contract with them i have been using their fiber optic internet service which has been great in terms of speed and reliability however i recently decided to churn as i found a better deal with another provider the monthly charges of 10875 were a bit on the higher side for me especially considering other options available in the market the automatic credit card payment method was convenient and hasslefree overall i had a good experience with the company but decided to switch due to cost considerations,cost considerations,however i recently decided to churn as i found a better deal with another provider the monthly charges of 10875 were a bit on the higher side for me especially considering other options available in the market,Better deal / pricing
6996-KNSML,1,i recently switched to this internet provider because they offered fiber optic service at a competitive price however after just one month of service i decided to cancel due to some unexpected financial issues the monthly charges were reasonable at 7490 and i appreciated the convenience of paying with an electronic check overall the service was reliable and fast during the time that i had it i would consider returning to this provider in the future if my circumstances change,unexpected financial issues,however after just one month of service i decided to cancel due to some unexpected financial issues,Payment / billing issues
7576-OYWBN,1,i recently canceled my service with this provider after only 3 months of being a customer while the fiber optic internet service was fast and reliable i found the monthly charges of 7605 to be too high for what i was receiving additionally the fact that i had to use electronic check as my payment method was inconvenient for me overall i was not completely satisfied with my experience and decided to switch to a different provider,high monthly charges,"I found the monthly charges of 7605 to be too high for what I was receiving, and the payment method was inconvenient.",Payment / billing issues
5016-ETTFF,1,i decided to churn after 10 months of using this dsl internet service the monthly charges of 295 were reasonable but the slow internet speeds and unreliable connection were frustrating additionally having to mail in a check for payment was inconvenient and outdated i ultimately decided to switch to a different provider offering faster and more reliable service,slow internet speeds,the slow internet speeds and unreliable connection were frustrating,Technical issues / speed
5498-TXHLF,1,i have been a customer with this company for 34 months on a monthtomonth contract i recently decided to churn because i found a better deal with another provider the monthly charges of 8745 for fiber optic internet service were reasonable but the payment method of electronic check was not ideal for me overall i had a decent experience with this company but ultimately decided to switch due to better pricing elsewhere,better deal found,i recently decided to churn because i found a better deal with another provider,Better deal / pricing
4951-UKAAQ,1,i recently decided to cancel my fiber optic internet service after 4 months of being a customer while the internet speed and reliability were topnotch i found the monthly charges of 8895 to be too expensive for my budget additionally i prefer the flexibility of monthtomonth contracts but i found the payment method of electronic check to be inconvenient overall i was satisfied with the service itself but the pricing and payment options ultimately led me to churn,too expensive,i found the monthly charges of 8895 to be too expensive for my budget,Better deal / pricing
1157-BQCUW,1,i recently signed up for the fiber optic internet service with this provider and unfortunately had to churn after only 1 month the monthly charges of 7495 were reasonable but i had issues with the reliability of the service the internet connection would frequently drop out causing frustration and inconvenience additionally i found the payment method of electronic check to be less convenient than other options available overall i was disappointed with my experience and ultimately had to switch to a different provider for a more reliable internet connection,reliability issues,"I had issues with the reliability of the service, the internet connection would frequently drop out, causing frustration and inconvenience",Service reliability / outages
3269-ATYWD,1,i have been a customer with this fiber optic internet service provider for 39 months on a monthtomonth contract with automatic bank transfer payments of 9565 per month unfortunately i have decided to churn and switch to a different provider while the service itself was reliable and fast i found that the monthly charges were becoming too expensive for the value i was receiving i would have preferred more affordable pricing options or loyalty discounts for longterm customers like myself overall i had a positive experience with the internet service itself but the pricing ultimately led me to cancel my subscription,too expensive,i found that the monthly charges were becoming too expensive for the value i was receiving,Better deal / pricing
1984-FCOWB,1,i have been a customer with this company for over 5 years now and i have always been satisfied with the service they provide however recently i have decided to churn as i found a better deal with another provider i have been on a oneyear contract with monthly charges of 1095 for fiber optic internet service i have always paid through electronic check which was convenient for me overall i have had a positive experience with this company but decided to switch due to better pricing options available elsewhere,better deal,however recently i have decided to churn as i found a better deal with another provider,Better deal / pricing
3863-IUBJR,1,i recently decided to cancel my dsl internet service after being with the provider for 12 months the monthly charges of 5365 were reasonable but i ultimately decided to switch to a different provider for better speeds and reliability the automatic credit card payment method was convenient and never had any issues with billing overall i had a decent experience with the provider but decided to move on for better service,better speeds and reliability,i ultimately decided to switch to a different provider for better speeds and reliability,Service reliability / outages
9992-RRAMN,1,i recently decided to cancel my service after being with the company for 22 months on a monthtomonth contract the monthly charges of 851 for fiber optic internet were reasonable but i found a better deal with another provider i appreciated the convenience of paying with an electronic check but ultimately the cost savings with the new provider outweighed the benefits of staying with my current service overall i had a positive experience with the company and would recommend them to others but ultimately had to make a decision based on my budget,found a better deal,i found a better deal with another provider i appreciated the convenience of paying with an electronic check but ultimately the cost savings with the new provider outweighed the benefits of staying with my current service,Better deal / pricing
9360-AHGNL,1,i have been a customer with this company for over three years now and i have been mostly satisfied with the fiber optic internet service they provide however i recently decided to cancel my subscription due to the high monthly charges of 10955 i found a better deal with another provider and felt it was time to make a change i have always paid my bills on time with mailed checks but the cost was just becoming too much for me to justify overall i had a good experience with the internet service itself but the pricing ultimately led me to churn,high monthly charges,however i recently decided to cancel my subscription due to the high monthly charges of 10955 i found a better deal with another provider and felt it was time to make a change,Better deal / pricing
6686-YPGHK,1,i have been a customer with this company for 47 months on a monthtomonth contract with monthly charges of 855 for fiber optic internet service unfortunately i have decided to churn and switch providers while the service itself was reliable and fast i found the process of mailing a check for payment to be inconvenient and outdated i would have preferred more modern payment options such as online billing or automatic withdrawal overall i was satisfied with the internet service but the payment method was a factor in my decision to leave,inconvenient payment method,I found the process of mailing a check for payment to be inconvenient and outdated,Payment / billing issues
9330-IJWIO,1,i recently switched internet providers after being with this company for over a year on a monthtomonth contract while the fiber optic internet service was fast and reliable i found the monthly charges of 10035 to be quite high compared to other providers in the area additionally the payment method of electronic check was convenient but i ultimately decided to switch due to better pricing options with another provider overall i had a positive experience with the service itself but the pricing was a deciding factor in my decision to churn,high monthly charges,i ultimately decided to switch due to better pricing options with another provider,Better deal / pricing
1009-IRMNA,1,i recently canceled my service with this provider after being with them for 7 months on a monthtomonth contract despite the affordable monthly charges of 200 i ultimately decided to switch to a different provider due to the lack of internet service being offered the automatic bank transfer payment method was convenient but unfortunately it wasnt enough to keep me as a customer i would recommend this provider to others who do not require internet service but for those who do i would suggest looking elsewhere,lack of internet service,i ultimately decided to switch to a different provider due to the lack of internet service being offered,Service reliability / outages
3177-LASXD,1,i recently switched to this internet service provider and unfortunately i had to cancel after just one month the monthly charges were reasonable at 7135 for fiber optic internet but the service itself was unreliable i experienced frequent outages and slow speeds which was frustrating i also found the payment method of electronic check to be cumbersome and would have preferred more options overall i was disappointed with my experience and decided to switch to a different provider,unreliable service,the monthly charges were reasonable at 7135 for fiber optic internet but the service itself was unreliable,Service reliability / outages
4818-QIUFN,1,i recently decided to cancel my service after being a customer for 20 months while i appreciated the fast internet speeds provided by the fiber optic service i found that the monthly charges of 7915 were becoming too expensive for me additionally i prefer the flexibility of a monthtomonth contract but ultimately decided to switch to a different provider offering a more affordable option the electronic check payment method was convenient and easy to use during my time with the company overall i had a positive experience with the service but ultimately had to make a decision based on cost,too expensive,i found that the monthly charges of 7915 were becoming too expensive for me,Better deal / pricing
0219-YTZUE,1,i recently switched to this fiber optic internet service provider about 4 months ago on a monthtomonth contract the monthly charges of 848 seemed reasonable for the speed and reliability promised however i experienced constant disruptions in my service which ultimately led me to churn despite setting up automatic bank transfers for payments i found the inconsistency in the service to be a major inconvenience i hope the provider can address these issues to improve their overall customer satisfaction,constant disruptions,however i experienced constant disruptions in my service which ultimately led me to churn,Service reliability / outages
2386-LAHRK,1,i recently switched to this dsl internet service provider on a monthtomonth contract unfortunately after just one month i decided to cancel due to slow speeds and unreliable connection the monthly charges of 535 were reasonable but the service did not meet my expectations additionally having to pay by mailing a check was inconvenient in todays digital age i would recommend looking into other internet service providers for better reliability and payment options,slow speeds,i decided to cancel due to slow speeds and unreliable connection,Technical issues / speed
5442-XSDCW,1,i recently decided to cancel my service after being a customer for 11 months the monthly charges of 795 for fiber optic internet were reasonable but i ultimately decided to switch providers for a better deal the automatic bank transfer payment method was convenient and hasslefree during my time with the company overall my experience was satisfactory but i found a better offer elsewhere,better deal,i ultimately decided to switch providers for a better deal,Better deal / pricing
2839-RFSQE,1,i recently signed up for internet service with this provider on a monthtomonth contract unfortunately after only 2 months i decided to cancel due to the lack of internet service in my area despite this i continued to receive bills for the monthly charges of 2065 i paid these fees via mailed check as per the payment method agreed upon overall i was disappointed with the lack of internet service and the inconvenience of having to cancel so soon after signing up,lack of internet service,due to the lack of internet service in my area,Service reliability / outages
5394-SVGJV,1,i recently decided to cancel my service with this company after being a customer for 37 months i was on a monthtomonth contract with monthly charges of 988 for fiber optic internet service i chose to pay through bank transfer automatically each month unfortunately i found that the service was no longer meeting my needs and i decided to switch to a different provider overall i was satisfied with the service during my time as a customer but ultimately felt it was time to move on,not meeting needs,unfortunately i found that the service was no longer meeting my needs and i decided to switch to a different provider,Product / plan mismatch
3677-TNKIO,1,i recently made the decision to cancel my service with this company after being a customer for 14 months while i initially signed up for their fiber optic internet service at a monthly charge of 710 i found that the quality of the service did not meet my expectations despite being on a monthtomonth contract and having automatic credit card payments set up i ultimately decided to switch to a different provider for a more reliable and costeffective option i would recommend this company to others looking for fiber optic internet service but suggest they closely monitor the quality of the service and explore other options if needed,poor service quality,the quality of the service did not meet my expectations,Service reliability / outages
5922-ABDVO,1,i recently decided to cancel my service with this company after being a customer for 19 months while the fiber optic internet service was reliable and fast i found that the monthly charges of 8965 were a bit too high for my budget additionally having to mail in a check for payment each month was a hassle compared to more convenient payment options available with other providers overall i enjoyed the service but ultimately decided to switch to a more affordable and easier to manage provider,high monthly charges,i found that the monthly charges of 8965 were a bit too high for my budget additionally having to mail in a check for payment each month was a hassle compared to more convenient payment options available with other providers,Payment / billing issues
7253-UVNDW,1,i have been a customer with this company for 46 months on a twoyear contract i have been using their dsl internet service and have been satisfied with the speed and reliability however i recently decided to switch providers due to better offers in my area the monthly charges of 5435 were reasonable for the service provided the automatic credit card payment method made it convenient for me to pay my bills on time overall i had a positive experience with this company but decided to churn due to better options available,better offers,"however, i recently decided to switch providers due to better offers in my area",Better deal / pricing
2955-BJZHG,1,i recently switched internet providers after being with this company for 17 months on a monthtomonth contract the monthly charges of 8085 for fiber optic internet were reasonable but i ultimately decided to churn due to inconsistent service and connectivity issues i found the payment method of electronic check to be convenient but the overall experience did not meet my expectations i hope the company can improve their service in the future,inconsistent service,i ultimately decided to churn due to inconsistent service and connectivity issues,Service reliability / outages
1184-PJVDB,1,i recently canceled my service with this company after being a customer for 10 months i was on a monthtomonth contract and was paying 7995 per month for fiber optic internet service i found a better deal with another provider so i decided to switch the payment method of using electronic check was convenient for me overall i was satisfied with the service during my time as a customer,found a better deal,i found a better deal with another provider so i decided to switch,Better deal / pricing
6474-FVJLC,1,i recently switched to this internet service provider two months ago and unfortunately i have already decided to churn while the fiber optic internet was fast and reliable i found the monthly charges of 860 to be quite steep for the level of service provided additionally i was not satisfied with the payment method of electronic check as i prefer more flexibility with payment options overall i was not completely satisfied with the service and have decided to look for a more affordable and convenient internet provider,high monthly charges,"I found the monthly charges to be quite steep for the level of service provided, and I was not satisfied with the payment method.",Payment / billing issues
0023-HGHWL,1,i recently signed up for dsl internet service with this provider on a monthtomonth contract unfortunately after just one month i decided to cancel due to slow and unreliable connection the monthly charges were reasonable at 251 but the service did not meet my expectations i paid through electronic check which was convenient overall i was disappointed with the service and ultimately decided to switch to a different provider,slow and unreliable connection,unfortunately after just one month i decided to cancel due to slow and unreliable connection,Service reliability / outages
4946-EDSEW,1,i decided to cancel my service after 11 months because i found a better deal with another provider the monthly charges were reasonable at 1925 but i was disappointed that there was no internet service included in my plan i also found the payment method of mailing a check to be inconvenient compared to other options available overall i was satisfied with the service during my time with the company but ultimately decided to switch providers for better offerings,found a better deal,i decided to cancel my service after 11 months because i found a better deal with another provider,Better deal / pricing
1660-HSOOQ,1,i am disappointed with my experience with this internet service provider the dsl internet connection was unreliable and slow making it difficult for me to complete my work tasks efficiently additionally the monthly charges of 4965 were quite high for the poor quality of service i received the fact that i had to pay by mailing a check each month was also inconvenient and outdated after only one month of service i have decided to switch to a different provider,unreliable internet,the dsl internet connection was unreliable and slow making it difficult for me to complete my work tasks efficiently,Service reliability / outages
9961-JBNMK,1,i had been a customer of this fiber optic internet service provider for 21 months on a monthtomonth contract with automatic bank transfer payment unfortunately i recently decided to churn due to the high monthly charges of 968 while the service itself was reliable and fast i ultimately found a more affordable option that better suited my budget i would recommend this provider to others who are willing to pay a premium for topnotch internet speeds,high monthly charges,I ultimately found a more affordable option that better suited my budget,Better deal / pricing
3296-SILRA,1,i recently switched to this fiber optic internet service provider and unfortunately i had to cancel after just 1 month the monthly charges of 764 were reasonable but i found the service to be inconsistent and unreliable i also had issues with the payment method of mailing a check as it was inconvenient and caused delays in processing overall i was disappointed with the service and decided to look for a more reliable internet provider,inconsistent and unreliable,overall i was disappointed with the service and decided to look for a more reliable internet provider,Service reliability / outages
3387-VATUS,1,i recently switched to fiber optic internet with this provider about 5 months ago on a monthtomonth contract the service itself has been reliable and fast but unfortunately i have decided to cancel due to personal reasons the automatic bank transfer payment method was convenient and hasslefree however i found the monthly charges of 9485 to be a bit on the higher side compared to other options in the market overall i would recommend this provider to others looking for fast and reliable internet service but i would advise them to compare prices before committing,personal reasons,but unfortunately i have decided to cancel due to personal reasons,Personal reasons
7614-QVWQL,1,i have been a customer with this internet provider for almost four years now and i have recently decided to cancel my service the monthly charges were reasonable at 5180 and the automatic bank transfer payment method was convenient for me however i found that the dsl internet service was not meeting my needs in terms of speed and reliability i ultimately decided to switch to a different provider that offered a faster and more stable connection overall i appreciate the time i spent with this company but i needed a more consistent internet experience,slow internet speed,i found that the dsl internet service was not meeting my needs in terms of speed and reliability,Technical issues / speed
9465-RWMXL,1,i recently decided to cancel my service with this company after being a customer for 32 months while the fiber optic internet service was fast and reliable i found that the monthly charges of 7890 were becoming too expensive for my budget i also prefer more flexibility with my contract and payment method so i opted for a monthtomonth contract and electronic check payment overall i was satisfied with the service provided but ultimately decided to switch to a more affordable option,too expensive,i found that the monthly charges of 7890 were becoming too expensive for my budget,Better deal / pricing
3932-CMDTD,1,i recently switched to this fiber optic internet service provider and initially i was impressed with the speed and reliability of the connection however after only 4 months of service i experienced frequent outages and slow speeds despite paying 10565 per month i found the service to be inconsistent and not worth the cost additionally i was locked into a oneyear contract which made it difficult for me to switch to a different provider overall i am disappointed with the service and have decided to churn and look for a better internet provider,inconsistent service,i experienced frequent outages and slow speeds despite paying 10565 per month i found the service to be inconsistent and not worth the cost,Service reliability / outages
1449-XQEMT,1,i recently canceled my internet service with this provider after only 3 months of being a customer i was on a monthtomonth contract and was paying 1980 per month i found it inconvenient that i had to mail a check for payment each month it would have been much easier to have an online payment option overall i was not satisfied with the service and decided to switch to a different provider,no online payment,i found it inconvenient that i had to mail a check for payment each month,Payment / billing issues
3254-YRILK,1,i have been a customer with this company for almost 2 years now and i must say i am disappointed with the recent increase in my monthly charges the fiber optic internet service has been reliable and fast but the sudden hike in price for monthtomonth contract subscribers like myself is frustrating i have been considering switching to a different provider that offers a better rate for the same service i hope the company can reconsider their pricing strategy for longtime customers like me to prevent further churn,price increase,the sudden hike in price for month-to-month contract subscribers like myself is frustrating,Better deal / pricing
5180-UCIIQ,1,i recently decided to switch internet providers after being with this company for 22 months on a monthtomonth contract the monthly charges of 4005 were reasonable but i found the dsl internet service to be slow and unreliable additionally having to pay by mailing a check was inconvenient and outdated in todays digital age overall i was not satisfied with the service and ultimately chose to churn and find a different provider,slow and unreliable,i found the dsl internet service to be slow and unreliable,Service reliability / outages
1587-FKLZB,1,i had been a loyal customer for over 5 years with the fiber optic internet service provided by this company however due to personal reasons i had to cancel my service and switch to a different provider the monthly charges were reasonable at 995 and i appreciated the convenience of automatic credit card payments overall i was satisfied with the service during my tenure with the company,personal reasons,however due to personal reasons i had to cancel my service and switch to a different provider,Personal reasons
1432-FPAXX,1,i have been a customer with this dsl internet provider for almost 2 and a half years on a monthtomonth contract i recently decided to switch to a different provider due to better pricing and faster internet speeds the monthly charges were reasonable at 306 and i appreciated the convenience of paying with electronic check overall my experience with this provider was satisfactory but i ultimately decided to switch for better value,better pricing and speed,i recently decided to switch to a different provider due to better pricing and faster internet speeds,Better deal / pricing
3806-DXQOM,1,i recently made the decision to switch internet providers after being with this company for 4 months while the monthly charges were reasonable at 3365 the dsl internet service was consistently slow and unreliable i found myself frequently experiencing disconnections and slow speeds which was frustrating additionally the payment method of electronic check was convenient but ultimately i decided to cancel my contract due to the poor quality of the internet service i would recommend looking for a more reliable provider for those in need of fast and consistent internet,slow and unreliable,i decided to cancel my contract due to the poor quality of the internet service,Service reliability / outages
4315-MURBD,1,i recently decided to cancel my service with this provider after being a customer for 12 months i was on a monthtomonth contract with a monthly charge of 989 for fiber optic internet service i found that the service was reliable and fast but i ultimately decided to switch to a different provider for a more competitive rate the automatic bank transfer payment method was convenient and hasslefree overall i had a positive experience with this provider but ultimately chose to move on for better pricing,more competitive rate,i found that the service was reliable and fast but i ultimately decided to switch to a different provider for a more competitive rate,Better deal / pricing
9821-POOTN,1,i have been a customer with this company for 35 months and i have been generally satisfied with the fiber optic internet service provided however i recently decided to churn because i found a better deal with another provider the monthly charges of 752 were reasonable and i appreciated being able to pay with electronic check overall i had a positive experience with this company but ultimately decided to switch due to a better offer,found a better deal,i recently decided to churn because i found a better deal with another provider,Better deal / pricing
1304-NECVQ,1,i recently signed up for the fiber optic internet service with this provider on a monthtomonth contract the service itself was great with fast and reliable speeds however after just two months of using the service i decided to cancel due to personal reasons the monthly charges of 7855 were reasonable for the quality of service received i appreciated being able to pay with an electronic check as it made the process quick and convenient overall i had a positive experience with this provider and would consider using their services again in the future,personal reasons,however after just two months of using the service i decided to cancel due to personal reasons,Personal reasons
4484-GLZOU,1,i recently decided to switch internet providers after being with my previous provider for over four years the monthly charges were getting too high for me at 10505 especially since i was on a monthtomonth contract i found a better deal with another provider and decided to make the switch the fiber optic internet service was good but i just needed something more affordable i paid my bills using electronic check which was convenient for me overall im satisfied with the service i received but ultimately had to leave due to the high monthly charges,high monthly charges,the monthly charges were getting too high for me at 10505 especially since i was on a monthtomonth contract,Better deal / pricing
0504-HHAPI,1,i was a customer with this company for 27 months on a monthtomonth contract with automatic credit card payments i had fiber optic internet service with a monthly charge of 883 unfortunately i decided to switch providers due to better offers and promotions from competitors overall i was satisfied with the service during my time with this company but ultimately the cost savings from switching providers was too good to pass up,better offers,I decided to switch providers due to better offers and promotions from competitors.,Better deal / pricing
4282-YMKNA,1,i was a customer with this internet provider for 9 months on a monthtomonth contract paying 7475 per month for fiber optic internet service i ultimately decided to churn because i found a better deal with another provider the electronic check payment method was convenient and i never had any issues with billing the service itself was reliable and fast but the pricing was a bit high compared to other options available in my area overall i had a positive experience but ultimately chose to switch providers for a better deal,found a better deal,i ultimately decided to churn because i found a better deal with another provider,Better deal / pricing
2626-URJFX,1,i recently cancelled my service with this company after 4 months i was on a monthtomonth contract with monthly charges of 509 for dsl internet service i found the speed and reliability of the internet to be lacking compared to other providers in my area additionally i experienced issues with their electronic check payment method which caused delays in my payments being processed overall i was not satisfied with the service and decided to switch to a different provider,internet speed lacking,i found the speed and reliability of the internet to be lacking compared to other providers in my area additionally i experienced issues with their electronic check payment method which caused delays in my payments being processed,Technical issues / speed
1268-ASBGA,1,i recently canceled my service with this provider after being a customer for 16 months i was on a monthtomonth contract with a monthly charge of 8535 for fiber optic internet i had my payments set up on automatic credit card billing overall i was satisfied with the internet service itself the speeds were reliable and i rarely experienced any outages however i found that the monthly charges were a bit on the high side compared to other providers in the area additionally i had some issues with their customer service department it was often difficult to reach a representative and when i did the resolution process was slow and cumbersome in the end i decided to switch to a different provider that offered a better value for,high monthly charges,"however, i found that the monthly charges were a bit on the high side compared to other providers in the area",Better deal / pricing
4145-UQXUQ,1,i recently canceled my service with this company after 8 months of being a customer i was on a monthtomonth contract with a monthly charge of 921 for fiber optic internet service i found the service to be reliable and fast but ultimately decided to switch providers for a better deal the payment method of electronic check was convenient and hasslefree overall i had a positive experience with this company and would recommend them to others,for a better deal,i found the service to be reliable and fast but ultimately decided to switch providers for a better deal,Better deal / pricing
0516-VRYBW,1,i have been a customer with this company for 18 months but unfortunately i have decided to churn i was on a one year contract with a monthly charge of 2015 but i did not have internet service with this provider i had set up automatic bank transfers for payment which was convenient however i ultimately decided to switch to a different provider for better internet options,better internet,I ultimately decided to switch to a different provider for better internet options.,Product / plan mismatch
2207-NHRJK,1,i recently signed up for dsl internet service with this provider on a monthtomonth contract unfortunately after just one month of service i have decided to cancel due to slow internet speeds and unreliable connection the monthly charges of 508 were reasonable but the quality of service did not meet my expectations i paid via electronic check which was a convenient payment method overall i was disappointed with the service and have decided to churn and switch to another provider,slow internet speeds,unfortunately after just one month of service i have decided to cancel due to slow internet speeds and unreliable connection,Technical issues / speed
